time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-14T04:12:56.300Z,19.8603325,-155.8568268,12.56,2.47,ml,33,279,0.1877,0.2,hv,hv70907521,2019-04-14T04:18:39.590Z,"8km SSW of Waikoloa Village, Hawaii",earthquake,4.9,6.86,0.2,3,automatic,hv,hv
2019-04-14T03:59:54.250Z,38.7806664,-112.7839966,-3.32,4.03,ml,59,50,0.3141,0.81,uu,uu60320932,2019-04-14T04:18:11.040Z,"46km WSW of Fillmore, Utah",earthquake,0.93,7.45,0.31,27,automatic,uu,uu
2019-04-14T03:32:32.506Z,13.7134,-90.024,101.15,4.4,mb,,167,0.937,1.15,us,us700035nx,2019-04-14T03:52:03.040Z,"14km S of San Francisco Menendez, El Salvador",earthquake,7.6,8.7,0.086,39,reviewed,us,us
2019-04-14T03:20:36.570Z,19.7858334,-155.8394928,12.66,3,ml,51,175,0.1007,0.39,hv,hv70907451,2019-04-14T04:22:39.264Z,"16km ENE of Kalaoa, Hawaii",earthquake,0.9,0.71,3.87,19,automatic,hv,hv
2019-04-14T03:16:44.472Z,61.1991,-149.8957,36.6,3.3,ml,,,,0.56,ak,ak0194s1rwzg,2019-04-14T04:21:34.266Z,"2km S of Anchorage, Alaska",earthquake,,6.2,,,automatic,ak,ak
2019-04-14T03:09:02.640Z,19.7428333,-155.7885,13.15,5.34,ml,75,66,,0.17,hv,hv70907436,2019-04-14T04:23:39.027Z,"20km E of Kalaoa, Hawaii",earthquake,0.24,0.4,0.153,52,reviewed,hv,hv
2019-04-14T02:53:14.398Z,14.1878,-93.0908,35,4.5,mb,,188,1.393,1.13,us,us700035nk,2019-04-14T03:42:22.040Z,"93km SW of Puerto Madero, Mexico",earthquake,8.2,2,0.037,211,reviewed,us,us
2019-04-14T02:18:24.503Z,-8.5375,118.3285,129.75,4.2,mb,,75,3.774,0.57,us,us700035na,2019-04-14T02:34:59.040Z,"4km ENE of Npongge, Indonesia",earthquake,9.7,7.9,0.186,8,reviewed,us,us
2019-04-14T01:53:11.247Z,26.249,129.5245,10,5.2,mww,,39,1.264,1.22,us,us700035my,2019-04-14T02:54:34.093Z,"158km ESE of Nago, Japan",earthquake,5.9,1.9,0.073,18,reviewed,us,us
2019-04-14T01:08:45.636Z,7.3968,94.2177,10,4.6,mb,,160,5.463,0.57,us,us700035ml,2019-04-14T01:53:21.040Z,"117km ESE of Mohean, India",earthquake,8.4,1.8,0.122,20,reviewed,us,us
2019-04-13T23:46:43.687Z,7.2315,94.6972,10,4.5,mb,,141,2.993,0.82,us,us700035m0,2019-04-14T00:19:53.040Z,"163km NNW of Sabang, Indonesia",earthquake,9.1,1.9,0.121,20,reviewed,us,us
2019-04-13T23:02:50.560Z,14.0634,93.1847,10,4.5,mb,,60,2.431,0.8,us,us700035l2,2019-04-13T23:22:40.040Z,"266km N of Bamboo Flat, India",earthquake,8.1,1.9,0.1,29,reviewed,us,us
2019-04-13T22:18:01.860Z,-4.5856,149.6313,555.52,4.3,mb,,53,2.555,0.6,us,us700035kk,2019-04-14T00:21:27.988Z,"120km NNW of Kimbe, Papua New Guinea",earthquake,7.7,8.3,0.083,41,reviewed,us,us
2019-04-13T22:17:51.815Z,56.2434,-149.9521,20.65,2.7,ml,,242,2.083,0.64,us,us700035kl,2019-04-13T22:49:12.040Z,"227km SE of Kodiak, Alaska",earthquake,4.4,11.3,0.06,36,reviewed,us,us
2019-04-13T21:37:29.420Z,40.2443352,-124.190834,12.99,2.73,md,14,115,0.01614,0.08,nc,nc73165425,2019-04-14T00:48:02.470Z,"12km SE of Petrolia, CA",earthquake,0.5,0.75,0.13,7,automatic,nc,nc
2019-04-13T20:43:30.821Z,7.3611,94.4203,10,5,mww,,32,3.285,1,us,us700035j6,2019-04-13T21:12:51.040Z,"138km ESE of Mohean, India",earthquake,7.2,1.8,0.073,18,reviewed,us,us
2019-04-13T20:21:11.328Z,59.3689,-137.3226,5.9,2.5,ml,,,,1.24,ak,ak0194qodxvg,2019-04-13T21:56:11.060Z,"108km W of Haines, Alaska",ice quake,,0.5,,,automatic,ak,ak
2019-04-13T19:53:49.798Z,35.3051,-97.9146,3.25,2.5,mb_lg,,64,0.157,0.67,us,us700035ia,2019-04-13T22:11:24.040Z,"2km ESE of Minco, Oklahoma",earthquake,0.8,4.3,0.095,29,reviewed,us,us
